region,city,address_street,address_type
респ. Ингушетия,клх Тутончаны,"пр. 1 Мая, д. 16",получатель
Забайкальский край,клх Сосногорск,"алл. Комарова, д. 711 стр. 10",получатель
респ. Коми,п. Бомнак,"ул. Советская, д. 3 стр. 8/8",отправитель
Чукотский АО,с. Нижнеудинск,"алл. Вокзальная, д. 370 стр. 5",отправитель
Красноярский край,г. Орехово-Зуево,"пр. Вишневый, д. 8/3 стр. 4",получатель
Краснодарский край,ст. Гудермес,"ул. Целинная, д. 555 к. 2/7",отправитель
Красноярский край,с. Шереметьево,"пер. Речной, д. 3/3",отправитель
Ставропольский край,к. Одинцово,"пр. Ушакова, д. 4 стр. 9/8",получатель
Еврейская АО,д. Сусуман,"ш. Декабристов, д. 4/5",получатель
Свердловская обл.,к. Меренга,"пр. Коллективный, д. 474",получатель
респ. Коми,п. Змеиногорск,"ш. Зеленое, д. 993",получатель
Камчатский край,п. Кулу,"алл. 9 Января, д. 1",получатель
Красноярский край,г. Усть-Ишим,"алл. Лесная, д. 463 к. 2",получатель
Чукотский АО,с. Горячий Ключ,"наб. Металлургов, д. 8 к. 5",получатель
Чукотский АО,п. Усть-Илимск,"ул. Победы, д. 18 стр. 175",получатель
Ненецкий АО,ст. Коломна,"пр. Чайковского, д. 67 к. 23",получатель
респ. Адыгея,ст. Лесной (Сверд.),"алл. Российская, д. 818 к. 1",отправитель
респ. Дагестан,г. Томск,"пр. 9 Января, д. 5/2",отправитель
Саратовская обл.,ст. Советский,"наб. Черняховского, д. 898 стр. 3/7",отправитель
Ненецкий АО,к. Выборг,"ш. Октябрьское, д. 302",получатель
Ханты-Мансийский АО,ст. Солнечногорск,"пер. Лазо, д. 41",отправитель
Ненецкий АО,п. Двинской,"пр. Седова, д. 5/6",отправитель
Ханты-Мансийский АО,п. Тула,"бул. Щербакова, д. 5",отправитель
Ненецкий АО,клх Тында,"ул. Дарвина, д. 451 стр. 557",отправитель
